VideoID,label
38,h5h2 d5d6 h2d2 c2e3 b2e5 e3g2 d2e2
39,f6e8 c1b1 d8d7 b1c2 f7f8
40,d6e7 d4e5 a7a6 e1d1 d7c5 b5c7 a8a7
41,b3c5 a8a7 c5e4 a2c4 c2c3
42,g5h4 g4g5 b3c4 b2d2 c4c3 g2f1 c3e5 g5h6
43,g4g5 b8a6 c1b2 e7a3 c2c4 d7d6 b2c1
44,f8d6 d2d3 b7b5 e2g4 b8b7
45,b7a5 a2a3 f7e5 d4f3 h6h5 f3e5
46,c1d2 g4h4 d2e1 d3b4 a3a1 h4h1
47,g8h8 b1a2 e8f8 c3d1 b5b4 a3b4 h6f5
48,d5a8 g8e7 g5h6 g6g5 g3g4 b6c4
49,a1a5 f6g8 b4b5 g8f6 f4h5
50,a5a4 f1c4 h7h5 c4f1 h8h6
51,c4e5 h2h7 f5e4 f2e2 e5g6
52,a5c4 h2h1 f7c7 d3c2 g8h7 e2e3
53,a2f2 g7f7 e8d8 f7f6 f2g3 f6f5 d8c8
54,e3g2 d1h1 d8c7 h2h4 d7c8 h1h3
55,h7g8 e8e7 g3h4 g4g3 g2e1 b8a6 g8d8
56,e6c7 d5c5 e3h3 c3b1 a8a6 c4d5 c7b5
57,d2c3 c8d8 h3f1 f7f5 d1a4 d8c7 g4g5 c7f4
58,f2e3 f6h5 f3g2 b2b3 g2f1 a8f8
59,d6d5 c5b6 f3d4 a5c3 d8a8 c3e1
60,g2g4 b7c6 d3b1 d6e7 d1b3 e8f8 b3d5 e7f6
61,b1a3 h1a1 e6e5 a1h1 d6e8 a4a5 h7f5
62,b2a1 a6f1 g2a8 h2f3 c1c5 e1d2 c5c7
63,b2b3 f7f5 d2g5 a8d8 g5h6 e8f8 d5b6
64,g2g3 d4c5 d3e2 c5b6 a5a7 e6e5 e2h5 b6e3
65,d7c5 b6a5 e7e5 d5d6 g7f7 h1e1 f8e7 c6a7 e4d4
66,g2d5 f6f5 h4f3 c6d6 d5e4 b3d4 e4c2 d4b5
67,c7a7 g1f3 a7a8 a6f1 c8a6 f3g5 g8h6 a2a3
68,c2d2 d3c4 d2f2 g1c1 d8d7 b5c3 f2h2 c1a1
69,e6f7 d2b3 f2f6 e1d2 a8b6 g5f6 b6d5
70,h1f1 f8d8 c3d3 f7e7 d3c3 d6c8 a2b2
71,g4f2 c7b7 f7a2 e1c3 a2b3
72,f4g6 a6c6 b2b3 c6d6 d3d4
73,a1c3 d3d1 f1d1 c8b8 d1g1 a7a8 c3f3 f4d6
74,f8h6 c2c3 e6d5 f3f4 b5a6 h3f3 b6b5
75,h7h8 e6e3 c3b1 e3e5 h8g7 d5b7
76,a1a2 a8a7 c6b5 b3c1 e2d1 a6b8 e5c4
77,e2c1 b6c6 a3b5 e3d2 c8b6 a8d8 e1e3 h5h4
78,b8b3 g7h8 b3b7 h8d8 a7a8 c6c5 b1d2 g4g3 d1e1
79,d6d4 d1e2 d4d3 c3d5 d3b3 f4f6 d7f6
80,f7e6 g1h3 e6f6 e2e3 h8h7 h3f2
81,f6e5 h1c1 e5h8 a2c4 e3d3 c4a6 h8g7 c1e1
82,h1f1 c2c7 d3d4 g7f6 f1f3 g4f3 c8a7 c7f4 e4f4
83,b8b3 b1d1 d3c3 d1h1 c3d2 h1e1 c2b4
84,f5f6 f1f2 g7f8 d1a1 f6h6 a2a4
85,b6c6 e8d8 f5h4 d8d7 h4g2 a1a3 g2e1 d7h7
86,d4a4 e7c7 e3d2 f7e6 d2e1 c7c5 b2d2
87,h8e8 e1c1 e8d8 c1c2 d8d7 f2g2 d7h7
88,a4b6 d7c8 b6a4 c7f7
89,e7e8 c1b2 b7a6 e2d1 d8b7 b1c1
90,a6g6 a2h2 g4h5 h2h3 g6d6 f5h4 e5e6
91,b2a2 c3e4 c8d8 a3d6 a2d2 g2h3 d2c2 e4c3 f6d7
92,f4f3 g1f3 c8b7 e1c1 f7e5 a2a3 a6a5 f3g5
93,h7b1 h5f7 b1h7 d8c7 f4e5 h8h7
94,h3f2 e7f7 g4f5 f6e4 b4a5 g8b8 a2a4 f7e7 f5d7
95,f1e1 g2e4 e6d8 b6b5 d8e6 e4f3 g4g5
96,d2e1 b8g8 h6h2 d7e8 e1d2 c4a2 f3g5 e7c6 h2h3
97,e5h5 c3b5 h7g8 b5a3 h5d5 a3b5 b2c3
98,c4e3 h7h8 d5g8 f2f4
99,f5g6 h7f7 g1g5 h6g5 a3b3
100,d2e2 a6b4 c1d2 e7b7 e2e1 f8e7
101,c3b2 g6g5 d1b3 c7c6 e2e3
102,b8e8 h8h6 h5g5 g1h1 e8d8 e5c3
103,g2f2 c4b3 f4e5 g7h6 f3e2 a6c8 b6a7
104,b7a8 a4a5 f3h5 h1g1 h5e2 e1f1
105,e1d2 f6f5 h5h6 d8c7 d2c3 c5c4 b4b5
106,c4c5 f6f5 h1g1 e7e6 d1b3
107,f6d7 c4f7 a2a3 f7g6 d2d3 g6h5 a3a4 g5g4
108,d3e4 g5g4 e4e3 d7e6 h3g4 b6c7 b4a5 e6f5 d2f1
109,g8f6 f1g2 f6h5 d1b3 f7f6 g2f3 a8a5
110,
111,b3b2 e5e6 h7h6 f5g6 h6h4 g6h5
112,b1b5 b6c6 b5b1 g7g6 c1d1 d7d6 d2f1 d6a3 f1g3
113,d7f6 f3h3 b6b8 h3h2 f8e8 h2e2 c6d5
114,e3f3 f2e2 h7h5 c2c6 d8c6 e2d1 h5f5 g3f4
115,b8b5 g2g3 d6c4 d2d1 c8d7 a4b4 c4b6
116,f3e2 b7b8 h1a1 h7h5 e2c4 e8g6
117,
118,d4b4 f7d7 b4c4 f6d8 a7b8 d7b7
119,h6g7 a7a8 a2a5 a8a5 h8g8 g5g1
120,b7d5 a1c1 a6b8 d2d3 b8c6 f4e3
121,b5f1 d7d8 d2d3 b8b7 d3d4 f8a3 f1a6 a3b4 e1f1
122,b6b1 f5d7 g6g7 d7c6 d2c2 c6b5 g7h8q e7g7
123,f3f4 c4c3 f2e4 e7c8 c6d5
124,c7c6 e2b5 f7f6 c3e2 h3f5 c1b2 b8a6 d1d2
125,g3g4 e3b6 g4h5 d1d2 b2c1
126,e8d8 e2d1 f6g4 c1b2 g4e3
127,b5c6 e7g5 c6c8 e8e7 c8b7
128,b2f2 h4f3 f2g2 f7e7 a4c6 b6b5 g2e2 f3e1 e2a2
129,e4c5 d8c6 e7f7 a2a1 f7g8 f1e2 f6f4 h2h3 a8b8
130,c5a3 f1g1 h3f2 a7a6 b2a2 d7a4 e1f1 d8c6 g4f5
131,b3b2 a8b8 b2f2 a7c6 a1b2 f7a2
132,a2a1 g4e3 d7e7 f8e7 c4f7 c8h3 e5e6
133,b3b4 f5h3 b7c6 h3f5 a7b7 h5h6
134,f4e3 c1c3 e3f4 e4c2 a4a3 f8e6
135,c1e2 c5a6 e2f4 e5b2 c4b5 d8c8 b5c6
136,f4c7 c4c3 d3e1 b4b3 h1g1 e8f6 d1d3 c8b7
137,e7d8 c2b4 c6b5 g2f1 b5c5
138,f7a7 e5h5 d8c8 h5h2 c8c7 h6c1 f6f8 c3b5 c7c8
139,a6b7 g7g8 e1c1 f5e4 d6e4 a4a3 e4d6
140,h2h1 b5d4 h1g1 b4d5 h4h3 d5b6
141,d3f4 c1f4 g5f4 g1g6 e4d2 b3b4 d2e4
142,e1d1 f8e8 f6e7 e8e7 a5a6 f7f6 f5e6 e7f7 f2e2
143,g1h3 g5h5 b1c3 e5f4 b5c6 d7d5 f2f3 d8c8 a6a5
144,e2d1 b4a3 g3h3 c3a2 h3h2 g1d4 e8d7 d3e4 h2e2
145,h1h2 d8b6
146,g3f5 a5e5 b2c1 c6c7 d4b6 e5b5
147,h3h2 d8e7 e2e4 f8g8 a1a2
148,a3b3 a8b8 b3c2 b8b6 c2c3
149,f5h4 h7h8 e2f2 a6b4
150,h6g5 c2c1 b7a8 c1d2 g5h6 d2d1
151,h3h4 e6e5 h4h5 d8c8 g2f1 c8g8
152,b6b5 h4h5 d3b4 d2d3 c4a2
153,a1a3 d5d4 f3f4 a8a7 b4c4 g2g6
154,h8g8 f5g5 b7c8 g4h5 c8e6 h5h6 e8f7 g5g8 f7f6
155,e7c5 f3e4 h3h2 e4g6 d7d3 g6h7 d3c3 c6c7
156,f1g2 a8a7 a3a4 b8d7 b1a3 f5d4 e2e3 b7b5
157,b3d1 d7d6 g2g3 d8f6 e2f4 h5h4 f4g2
158,d1d2 f2d3 f6h7 a6b5 f3f4
159,h3g4 h6h5 g4h3 c3e1 g7h7 d3f3 h3h2 f3e3 f7e6
160,
161,h2h4 a8b8 c2d2 b8d8
162,c3a1 f8g7 d2c1 b7b1 c1d2 g4g6 f5g4 b1g1
163,a1a2 c8d7 a4a5 e6g8 g4g5 d7e6 a2e2 h8h7
164,a5a6 h7h8 b7a5 d5e3 a5b3 h8h7 b3d4 g7g5
165,d1g4 d7d8 a1b1 a6a5 h3h4 b7a6
166,c4a5 h2e5 a6b7 h1g2 g7g6
167,f5f8 d8b6 f8f5 g3h2 c3c2 h2g1 d7d6
168,h1f2 d7d5 f2g4 d5e4 f5e4 h5f4 d8d6 c3d4 f8g8
169,g7g6 b4b3 h8g8 f3e2 g6f5 g2h2 a3e7 c6d8
170,g1g5 h5g6 g5g6 c1b2 g7h7 a1a5 c6d4
171,g2f1q g1h3 g8f6 d5e5 f6e8
172,f4h3 h1h3 b3d1 h3g3 a5a4 f8a3
173,d6c7 d7c7 d5d7 c7b6 d7d5 c1c2 e2d1
174,g5g4 c6c4 g4f5 h7f8
175,c2c3 f6c3 e2a2 h7f7 a2f2
176,b5b6 e2d2 c8b7 d5e6 d7c8 d2g2
177,g7f7 g1d1 a5a4 e3c1 f2b6
178,e8g7 e3f3 f7g6 h2g2 h8h6 b1e1
179,c3c7 e3e6 c7c1 g6g7 f5e5 g7h6
180,g8f8 h1h2 d7b8 a1a2 f4e3
181,d3c3 g4g3 c3b3 e8c8 e1f2 c8c6
182,f4e6 d8c8 d3c3 b7d5 g2d5
183,d8c7 f7g8q c7d8 g8e6 a5a4 e6d5 d8c8 d5d8
184,g2g3 e8f8 g7c7 f6g6 g3h4 g6g3
185,e3f3 g1h2 d8b8 h7g7 f3b3 e6e7 b8f8
186,a2a4 f6f3 b1a1 a5a7 a4a5 g8e8
187,d4d5 d6e7 c1b2 a8a6 d1d4
188,e2d1 e6g8 g3b8 g8b3 d1d2 c6b5 e4d6
189,a8a6 g2c6 a6a7 d1c1 c8f5 e1f2 a5a4 f2f1
190,d4e2 a7a6 d1f1 g6h6 e6f5 d6d5 f6e5 c8b7
191,h4g3 g1g2 a8b7 c4c5 f2e4 g2b2 e8b8
192,d3d8 e7e8n b7a5 g1h1 d8d4 e8c7
193,c4b5 h4f6 d2d4 a4b5 d4d5 f8d6
194,g2g3 h8h7 g4g5 f7e7 b2b4 c8e6 h1h2
195,e6e4 d7b6 c3a4 e3c1 a4b2 g3g2 e1e2 b6c4
196,c4c3 g3g4 c2b3 f2f5 c8e7 f5f6
197,d4e3 e4e3 c6c5 f3f4 c5c4 e3c3 e8f7 c3c2 e7g6
198,d7d6 b1b2 b3a2 d1e2 g5f4 e2h5 f6h5 b2b5 h8g8
199,d5d4 c6b5 f5g6 e1g3 a8d8 b5a6 g6g7
200,c1g5 f8g8 h1g1 f6f5 c2c3 b7a8 g5d2
201,c4b5 f8g7 g2g3 a5c3 f2e3 c7d7 h4h5 d4e3 f1h3
202,c6b4 e2f2 b4d5 b1a3 e4c2 d1c2 g7f6
203,a2c2 f8e7 f2f3 a8d8 e6d5 b5e8 c2e2 e8b5
204,g7g6 b2b3 h7h5 e1f3 e6e5 f3h4
205,e7f8 g5d5 c5d4 c3c2 f6f5
206,f4e3 h4h5 a3b4 g3h4
207,d7e6 c4b5 e3f4 b1d2 b7c6 e1f2 c6b7
208,g6h7 c8e6 h2h4 g7g6 e8f6 b8c8 f6d7 d5d4
209,c7c8 f2b6 a6b7 a4a5 f5h4
210,c4c7 h6g8 f3g1 d3b2 c2d2 c8e8 g1f3 e7b4
211,c8b7 d3f3 d8c8 e6c6 b8c6 f3b3 f6f5 e4e5
212,h7h8 d1d2 b8a6 b5d7 c8d7 e1d1
213,h4g3 e3e2 c3c4 g7h8 d3f4
214,a3a1 c6c1 a1c1 h6h5 c1c5 g5f6 c5c4
215,e8d7 g2d5 h8h6 d1b1 d7d8 d4e6 d8e8
216,b3b4 f3g2 b4b5 d8f8 h2h3 c1f1
217,e7d8 f1d3 d8e7 g1f3 d7c6 d3e4 g8f6 a1a2 f6d7
218,h2h3 a2a4 a1c1 f8d6 b4b5 d5e7
219,g8f7 c8b7 f7g8 d5f5 c5d7 e7d8
220,f2f4 e4d3 g1f1 d8f6 f4f5 a6a5 c6d7
221,c8b7 b5c4 d7d5 h4g6 d8e7 a3a4 a6a5
222,f3b3 g8e7 c6d4 e5d4 h1g2 e7g8 d5c7 d6c7 g2f2
223,b2f6 g5f7 f6h4 g2g1 g6f5 d2e3 f5f4 e3e2
224,e2c3 d6c7 c1a3 c7e5 a6b5 e8f8 a1d1 e5c7
225,b1c3 d6a3 h1f1 f6f5 c1b2
226,h6h7 b1h7 g3g4 f4e2
227,b8h8 c2h7 b6e6 h7h6 h5f6 g2c6 h8h7 c6b5
228,h1h4 d4f6 d5b6 f8e7 b5a6 f6g7 g3g4 h8e8
229,c8d7 a2a3 h7f7 d5a5 f7f8 a3a1 d7b5
230,c1d2 h2f2 f3b7 f2f3 d2b4 f3d3
231,e3e4 b6a6 e2f3 d7e5 f3g2
232,a6c5 e1f1 a7a6 h4g5 h7h6 c2a2 d7f5
233,e1d2 e5d4 e2e1 e7b4 b1a3 b4b6 e1e2
234,c3e4 a6a5 f3h4 f7g8 c2c3 b8a6
235,h1f3 e6g7 a1d1 d4f2 b2b1 b8g8 f3g4 d7c8
236,e1f3 f8h6 d7e7 h5f3 h8f6 f3h1 e7e8
237,g8b8 e5d6 d7d8 f1f3 d8c8 g5g6 b5e2
238,d4b5 e1d2 d1e1 e8d8 e1e2 c6b5 a4a5
239,e7f8 d2b4 g6g5 e2f3 f7e6 b4a5 e3f2
240,c2b2 e3c1 e2d1 e7e5 f2f3
241,d5c7 h2d2 g4g3 b2a3
242,h7h8 f1g1 g6f4 f3d1 h8g8 d1e2 e7f7 g4h5 a6c8
243,d2e3 a8e8 f3f4 g8e7 d1f3 d4e3
244,h7h5 c1f4 a7a1 b1f1 e4c2
245,d3b1 g5g6 g8g7 a3b2 g7c7 c3c4 c7e7 b2b3 f8g7
246,f7e6 e4f2 e8a8 g3g1 a8c8 g1g2 c8e8
247,g2f4 e8g8 e1d2 a4a1 d2c2 b6b3 c2b3 g8c8 g7h7
248,c3e3 b6c4 e3a3 c4d6 a3f3 d6b7 c1b1 e2b5
249,f6e7 h4h5 e8h8 a3d6 f4d5 e1f1 d5c3
250,g8e8 c3b5 c6c5 g2h2 a3b3 h1g1 f5d7 a1c1
251,g8h6 g1f2 g5f4 b2a1 h8e8 g4g5 b3a4
252,b3b2 d3c1 f5d4 d2d3 b2c1b h3g2
253,a2a3 f7e7 h3g4 c8g4 g1f3 h7h5
254,f2f4 f8h6 c4b2 e8e7
255,d7d5 c4d3 g8f6 a5d2 e8f7 d3c3 e5e4
256,f7g7 c3b1 g7f7 c6d7 c7b8 d7e8
257,f2f4 d6e7 b3a5 d7d6 b2b3 c6c5
258,d8d7 f7g6 d7h7 h1e1
259,a7a8 e4d5 h7h6 c7b6 d8c8 c3e4
260,e7d8 g5h6 f6g7 h6g5 f7f6 g1f3 g7f8 c1a3 a6a5
261,a2a1 f8e8 e1e4 g7f6 e4e5 e8e7 a1b1
262,
263,b2c1 c8d8 d6f7 g6b1 g2d5 b1d3 e2d3
264,b7b6 e3e4 b6c7 d1d2 c7a7
265,e3e4 g6e8 d2d1 c7b7 e4d5 h4g3 h1e4 g3h4
266,g6g8 h5h8 g8f8 h8f8 f2e2 b5b7 e8g6 b7e7
267,b2a3 c5c4 h2h3 a8a7 g1f3 c8b7
268,e1e2 d7c8 a1b1 c8d7 f4d5
269,a1b3 e2e1 b3a1 d2d1 e7e6
270,d2d1 e8e7 g7f6 e7e8 b7d6 e8f8 d6e8
271,e1g1 e8e7 b5b6 d4e6 b7b8b h6h7
272,e2e3 c8h3 d1e2 g7g5
273,e7d8 d4b5 a4b2 c5d5 d8e7 h6d2 g8c8
274,a5a6 f4e2 d1b3 g3f4 b3e6
275,d6e8 f6g4 b4b5 e7f7 g1h3 c8f5 a2a3 f8h6 d4e5
276,a5a7 g1g3 a7a6 e6d6 e2g3
277,d2e2 g3g2 e7d6 h5h3 f4b4 h3g3 d3e1 e3f4 d6c6
278,c6b5 c1d2 a4a3 d2b4 b7b6 g2f2
279,d8e6 b1d1 d7e8 e5f5 a5a7 f3f4
280,e3h6 a6f1 b7e7 g4h6 c8b8 c3d4 e7c7 d4f6 e8c6
281,e8e4 a6b5 f6e5 h2d2 h8d8 a3a2
282,a5b4 e2g4 a6a8 d2d4 e7d8 d1d2 g5h4 a1d1 e8f7
283,b8c6 f2f3 a7d7 e1d2 d4f6
284,d8d7 d2d4 d7d4 c1d2 d4e3 a2a3 e3a3
285,d3c4 f2g3 g2h4 b1f1 c4c3
286,b1c2 f2f1 c2e2 a2e2 g7g5 d8a5 e7f6 f1f2 h4h5
287,c4d5 b2c1 b7e7 c1b2 d8c7 f1g2 c7d8
288,
289,c4a6 c8a6 h7h6 g8h6 b1b3 h6g8
290,f3d5 f5d7 d5a5 b2a1q
291,f3g2 e5d6 g1e2 h8h3 b1d2
292,b1d2 h7h5 b2b4 c5c4 g3g4 f7f6 c1b2 e5d4
293,f2f3 d1a4 h8f7 g8f8 e4e5 f8e8 f1e2 e8g8 f7d6
294,f5e6 c7c5 e6d6 c5g5 g2g3
295,f2e1 g8g4 h5h6 c1c6 h2h3 g4g5
296,h4h5 b1b2 h5h8 a1b1 a8b8 b2b8
297,a7b7 g5g6 d8e7 h4h5 f8c8
298,g3g4 c8d8 c1g5 d8e7 d1d5 h7h5 d5d3 h5g4
299,b8g8 d4d5 a8b8 e2e4 h4f5 e4e8
300,f2e1 d5c7 g5f4 f5b1 e1e2 c7e8
301,f1h3 d1c3 h3g2 d6e7 g1f1
302,c1f4 c8e7 b5a6 d7f5 f4d2
303,f5g5 e7d5 f2f4 d5c7 a2a3 a6a5 f1h3 c4b3 h3f5
304,e5g6 b6c5 a8b8 g2e1 b8c7 f7f8n g6f4 g7g8
305,e6d7 f2f3 h8h7 e5c4
306,g3f4 b8a8 a2c2 e7e6 f3h1 f6h6 h1g2
307,b7g7 g4e4 g7e7 h3h8 e8f7
308,d1g1 a8a6 a1c1 h7h5 c1a1 a6e6 g1g2 b8c6
309,f8g8 b2a1 h7h6 g7e6 h6h7 f3d3 h7c7 d3e3 c7d7
310,b7c7 c3d4 f7f6 b3a4 f6g6 h7g5 c5d4 b2b4
311,h2h4 a8b8 h1h2 c6c5 g2g3 b8a8
312,a5c3 f2g3 a8b8 d2e2 c3e1 g3h3 c6a7 d4d5 e7e6
313,c6c3 f3d4 c3f3 d5a8 f5f4 d4c6 f3e3
314,a6a5 c1d2 g2g1 c4a4 c8a6 a4a5 g1h2 a5b5
315,h1h2 f8h6 a2b2 c7c6 g2g3 e7e6
316,f1e2 e7e5 g1f3 g4g2 f2e1 g2g3 e1d2 d8c8
317,f2g3 e8e6 c2b3 e6h6 e1f2 a7a6 e4e3
318,e4g5 e8e6 b1e1 g7e8 d3c2 f8h6 a8b7 d7b7 g5e6
319,c7d8 b1a3 e8e7 f2f5 g7g6 f5f7 e7e6 a3c4
320,d7e6 h1h2 a6b5 e1f1 b8e8 h2g2
321,a4b4 g4g5 b4c5 f2f1 a8f3 g5g6 f3g2
322,g1f3 c6b8 g3g4 e7e6 d1d2 f8e7 a1a2 c5d3
323,e3e4 d6e7 d4b3 g7d4 b3c5
324,c6b7 e5g4 g1h3 e7h4 e3e2 b8c8 d5h1 g4f6
325,e8f7 h3c8 c6d8 c8b7 d8e6 a7a8q
326,g8f6 f3f4 f2h4 c4b5 f6g4 f5f6 g7h5
327,f6f4 c6a8 b8d7 c2b2 b4b3 d4d5 a7a5 h1e1
328,e8d8 h4g5 c8e7 c3d4 g8h8 h5g6
329,a7a6 h3e3 h8h7 e3f3 a8d8 b3c2 h7d7 d2d3
330,f4d3 c8b7 b4b5 b7f3 a2a3 f3h3 b6e6
331,e2f3 h7h6 c4e5 c8b8 e5g4 b8c7 c1c2 c7b6
332,f7c4 g4h5 g7g6 f5f4 c4c7
333,d1d2 b4b3 d2d3 b3b4 d3e4 d7c5 e4f3
334,d1e2 h7h5 c4b6 c3a2 d3d4 g7g6 e2d1
335,a3a4 e7e6 a4a5 h7h1 e1d1
336,f7g5 c5c4 d5d4 g7e6 b8c8 b3a3 b7a6 e7c7
337,a3a2 a5d2 b2c2 f7g7 c5d4 d8c7
338,f8c5 e4c5 b8b7 c3c4 b7a7
339,f2f1 a8a4 h2h3 e7g5 f1e2 d7c8 g6f5 c8b7
340,f4f3 e2g1 e7e6 h1h3 b7b6
341,h2h1 c1b3 h1f3 b3d2 b1a2
342,c7b6 d6g3 b6a6 f5g4 c1b3 c6c7
343,d8d6 e3f5 g5h6 f1e2 d6d8 f5g3
344,g4h2 e6g4 f7f6 g4h3 b6c7 g5g6
345,e4f5 d6d8 a4b3 e7d5 a1b1 d5b6 d1c1
346,d2f3 g1f2 h5g4 c1e3 a8a4 e3c1 d8d6 f2g2 e7h7
347,h8h7 h2h3 h7f7 f6d7 a1h8 d3c4
348,g3h4 e5f5 e3e1 g6f7 h2f2 f5c5 e1a1
349,d3d4 a5b4 a4a5 b7b5 a5a6 b4b3 d4d5 g6f5 d2f3
350,e7f8 f1e2 g8e7 e1d2 a8b7 d2d3 b7a8 b4b5
351,c2g6 h6g5 g6f7 e8f7 h2h3
352,e1e2 e8f8 c2c5 g5h4 c1f4 h8h7 f4c1 h7h8 e2e6
353,b1d2 b5b4 f1g2 c8a6 e3e4 d7c6 c3c4
354,f8c5 a1b1 c5b6 f4f5 e6f5 d3c5 h8f8 b1e1
355,a6b8 g1e1 e7g5 g2h1 c8d7 d2c4 e6e5
356,d4d8 f6b6 d8d2 b6b4 c5b4 c8a7 d2d7
357,b7a6 d4d1 a8f8 g7h6 f8e8
358,f4f3 g5g4 b3b2 a1b1 d2g5 h2h8
359,b7b6 e3e1 b4b5 a4b5
360,c8b7 h1h2 c2d4 d1e1 d7d6 a1a3 h5h6 e3f5
361,c8d7 c6a5 g8g7 a6b7 d7c8
362,f7f6 b2d1 e5g3 d1b2 g6f4 a5b5 g5g4
363,c3c4 d4b5 e3f2 c7b8 d1d2 h7b1 d2c1 h3f5 b3a4
364,b7b5 b1d2 c8a8 a1b1 c7d7 h8g7 e4f5 f1f2
365,b4c4 h4h3 f1g3 f3f4 d7b5 e1d2 g3f5 h3f3 g6g5
366,b1b6 g4h5 a7g7 h5g4 f1e2 g4h4
367,a5a6 e2d1 a1c2 d2c2 a6e6 c2b1 e4e3 b1b2 f8h6
368,a6a8 g4g5 f5d6 a1a3 d6f7 e1h1 c7d7 a3c3 f7g5
369,d7d2 b8b2 d1e2 b2c2 a2b2 d8f6 g1f3
370,g7h6 a6c6 h6e3 g2f1 e3g1 c6b6 h8c8 b6b5 g1b6
371,b6b5 c8g4 g6g7 f8e7 c6d5
372,g5g4 d1d2 f8f4 d2e1 d6c5 c1c3
373,c5c4 a4b5 f3f2 d6c4 d8e7
374,e4d3 c6d4 h1f1 c7c5 f1h1 a8b7 c3c4
375,g6h7 e5h2 d2c1 h2c7 h7d3 b6c6 d3b5 c7g3 h5h4
376,c4e5 d6e5 c5b6 g6h5 h1h2
377,g6g4 e1f2 g4g5 a4a5 e8d7 g8f7 c6c5
378,f7g6 a1b1 b7b5 a2a4 g6f5 h2f1 b5c4 d1e1
379,d8b6 e1f3 d4c4 f3h2 c4c7 g3g6
380,f7g7 h3h4 c2h2 c1c5 h2a2 a3c4 g7g1
381,d6e8 g1f3 d8g5 h4g5 b4a3 g5g6
382,d8e8 f1a1 g7h6 f6g5 b6d5
383,e1e2 b3b2 d3e4 h8h7 a3c5 d6b7 f3f5
384,d2e1 c7c5 e3d2 g7g5 d2g5 h4g3 g5h4
385,f4f3 d1e3 a6a8 a5b6 g8e7 e3d1 g5d2
386,h2e2 f8c8 e2h2 c8b8 h2b2
387,f8g7 e4d5 e8e7 g1h3 d8c7
388,e4d5 b3b7 d4e5 d7c6 d5b3 c6b5 d3d4 b7b8 e1d3
389,d5d4 b5a6 c8a6 c1d2 d8d7 d1e1 d3c2
390,b2a2 a6a5 e3b6 c7h2 a2a4 a7a6 a4a1 a6a7 b6b5
391,b3c5 e6d6 b4b3 h8e8 a2a3 f6d5 d2d4 e8c8
392,e1d1 c3e4 d2d3 e4c5 d6f5 e7f6 b3b4 c5a4
